"Course Name","Tee Color","Hole Number","Par","Handicap","Yardage","Course Rating","Slope Rating","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","1","4","15","347","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","2","3","7","192","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","3","5","11","527","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","4","4","5","342","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","5","4","9","354","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","6","3","17","160","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","7","4","3","365","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","8","4","1","407","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","9","5","13","497","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","10","4","4","442","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","11","5","10","540","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","12","3","18","169","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","13","4","2","398","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","14","4","8","433","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","15","4","16","373","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","16","4","12","361","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","17","3","6","185","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","Blue","18","5","14","495","71","127","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","1","4","15","297","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","2","3","7","168","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","3","5","11","522","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","4","4","5","285","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","5","4","9","300","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","6","3","17","139","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","7","4","3","336","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","8","4","1","330","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","9","5","13","470","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","10","4","4","407","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","11","5","10","487","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","12","3","18","130","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","13","4","2","370","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","14","4","8","375","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","15","4","16","320","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","16","4","12","324","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","17","3","6","160","68","118","","","","","","","","","","","","","","",""
"Encinitas Ranch","White","18","5","14","470","68","118","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","1","4","5","434","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","2","4","15","361","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","3","3","13","159","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","4","4","3","462","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","5","4","11","404","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","6","5","9","530","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","7","4","1","443","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","8","3","17","161","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","9","5","7","535","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","10","4","16","371","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","11","3","14","202","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","12","4","2","458","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","13","5","6","539","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","14","4","8","414","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","15","4","12","394","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","16","3","18","204","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","17","4","4","422","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","Brown","18","5","10","522","75","139","","","","","","","","","","","","","","",""
"Torrey Pines South","White","1","4","5","409","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","2","4","15","323","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","3","3","13","142","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","4","4","3","384","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","5","4","11","382","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","6","5","9","449","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","7","4","1","387","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","8","3","17","139","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","9","5","7","457","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","10","4","16","308","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","11","3","14","167","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","12","4","2","411","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","13","5","6","486","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","14","4","8","359","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","15","4","12","339","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","16","3","18","151","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","17","4","4","375","71","128","","","","","","","","","","","","","","",""
"Torrey Pines South","White","18","5","10","473","71","128","","","","","","","","","","","","","","",""